Student_ID,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
STUDENT1,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,Yes,No,No,AA
STUDENT2,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,No,Yes,Yes,AA
STUDENT3,19-22,Male,State,50%,No,No,Private,2,Never,No,No,No,Yes,AA
STUDENT4,18,Female,Private,50%,Yes,No,Bus,2,Always,No,Yes,No,No,AA
STUDENT5,19-22,Male,Private,50%,No,No,Bus,12,Always,Yes,No,Yes,Yes,AA
STUDENT6,19-22,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,BA
STUDENT7,18,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,Yes,CC
STUDENT8,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,Yes,BA
STUDENT9,19-22,Female,Other,50%,No,Yes,Bus,0,Always,No,No,No,Yes,CC
STUDENT10,19-22,Female,State,50%,No,No,Bus,12,Never,No,Yes,No,No,Fail
